name,street,number,latitude,longitude
Urbizone Francisco Ferrer High School, Terre-Neuve, Rue Terre-Neuve 116, 50.8402733, 4.3452124
Urbizone Facultés Universitaires Saint Louis, Boulevard du Jardin Botanique 43, 50.8540333, 4.3619845
Café Le Fontainas, rue du Marché au Charbon, 91, 50.8455172, 4.3474737
Aroma Coffee Lounge, Grand-Place, 37, 50.847225, 4.3524192
Fortis Brussels, rue de la Chancellerie, 11, 50.8462201, 4.3608407
Novotel Brussels Centre Tour Noir, rue de la Vierge noire, 32, 50.850724, 4.3500999
Station Brussel Schuman, rue de la Loi, 2, 50.8427816126, 4.37974594443
De Warande, rue de Zinner, 1, 50.8444193, 4.3663548
Hôtel du Congrès Brussels, rue du Congrès, 40, 50.8493718, 4.3672438
First Euroflat Hôtel, boulevard Charlemagne, 50-52, 50.8460962, 4.3825793
Dorint Brussels 4, boulevard Charlemagne, 11-19, 50.8448005, 4.3826131
Business Faculty, Font Saint Landry, 8, 50.9100824, 4.3964587
AB Café/Resto, rue des Pierres, 23, 50.8472236, 4.3496689
Café Kafka, rue de la Vierge noire, 6, 50.8498657, 4.3492748
De Dolle Mol, rue des Eperonniers, 52, 50.8450444, 4.3532827
Quick, boulevard Anspach, 56, 50.8491381, 4.3508293
Flamingo, rue de Laeken 169, 50.8558029, 4.3526777
Urbizone Cabinet Minister-President, Rue Ducale 7, 50.8435173, 4.3657634
Ogilvy Group Belgium, boulevard de l'Impératrice, 13, 50.8462063, 4.3569531
Bibliothèque Artistique, Académie des Beaux Arts, Rue du Midi 144, 50.843661, 4.347247
Urbizone Francisco Ferrer High School, Brugmann, Place Arthur Van Gehuchten 4, 50.8863049, 4.3328281
Marriott Brussels, rue A. Orts, 3-7, 50.8487418, 4.3489816
Eurostars Grand Palace Hôtel, boulevard Anspach, 159-163, 50.8460163, 4.346877
McDonald's, place de la Bourse, 3, 50.8485861, 4.3495167
Hôtel Hesperia Grand-Place, rue des Colonies, 10, 50.8465603, 4.3592082
